A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,26,1430934830416,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 4621, ""action"": ""FinishInstructions"", ""template"": ""instructions/training-switch.html""}"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,27,1430934833638,"[""TEST"", 257.03079368658155, 0.6169090158292666, ""D"", ""D"", true, 3214]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,28,1430934835094,"[""TEST"", 78.16806848392878, 0.16877008537315524, ""C"", ""C"", true, 1456]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,29,1430934836118,"[""TEST"", 80.38879817929572, 0.5636883167742301, ""C"", ""D"", false, 1024]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,30,1430934838757,"[""TEST"", 173.03545063432384, 0.8528817052747008, ""D"", ""D"", true, 2639]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,31,1430934839349,"[""TEST"", 184.7764663498421, 0.4372313616502944, ""D"", ""C"", false, 591]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,32,1430934840213,"[""TEST"", 98.33260591807247, 0.5320846490661879, ""C"", ""C"", true, 863]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,33,1430934840805,"[""TEST"", 107.69381694574497, 0.29008700625055506, ""C"", ""C"", true, 591]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,34,1430934841350,"[""TEST"", 182.2647471343705, 1.2267654081041852, ""D"", ""D"", true, 544]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,35,1430934842358,"[""TEST"", 81.5577807612393, 0.7240006353869842, ""C"", ""C"", true, 1007]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,36,1430934843029,"[""TEST"", 160.22694820975994, 1.5010031082701987, ""D"", ""D"", true, 670]"
A24QSO0ZGQNMRF:3K9FOBBF2HJ7Y27R2TO2A4GF2FONLX,37,1430934843958,"[""TEST"", 59.97691927929928, 0.9289763042075765, ""D"", ""C"", false, 928]"
